instance,new_cost,new_provisioned_gb,new_usage_gb,old_cost,old_provisioned_gb,old_usage_gb,cost_diff,provisioned_diff,usage_diff,storage_type,billing_model,optimization_note
cqfstorage,6674.33,0,158364.89,6150.29,0,147833.67,524.04,0,10531.22,File_Storage,Usage-based,MEDIUM: Review lifecycle policies
NerdioBackupVault,10994.34,0,422548.37,10554.64,0,405139.46,439.70,0,17408.92,Backup,Usage-based,HIGH: Review retention policies
cqfazfiles,2542.19,0,17458.93,2275.22,0,15660.35,266.97,0,1798.58,File_Storage,Usage-based,MEDIUM: Review lifecycle policies
CQF-Linux-Recovery-Vault,1700.78,0,34408.49,1534.56,0,30812.79,166.23,0,3595.70,Backup,Usage-based,MEDIUM: Optimize backup frequency
cqarchive,761.06,0,10555.21,602.69,0,6544.76,158.37,0,4010.45,"File_Storage, Storage",Usage-based,MEDIUM: Review lifecycle policies
PlunetMSDStorage,4593.76,0,78371.92,4437.05,0,75645.13,156.71,0,2726.79,Backup,Usage-based,HIGH: Review retention policies
cqwatcher,539.63,0,3014.55,470.04,0,2838.31,69.59,0,176.24,"File_Storage, Storage",Usage-based,HIGH: Consider archive/cool tiers
cqwatcherint,417.14,0,1723.38,365.37,0,1479.82,51.77,0,243.56,"File_Storage, Storage",Usage-based,HIGH: Consider archive/cool tiers
cqfstorage02-datadisk_5,287.42,16384,0.00,262.39,8192,0.00,25.03,8192,0.00,VM_Disk,Provisioned,MEDIUM: Check actual disk utilization
CQF-TEST-201-osdisk,14.74,128,0.00,0.00,0,0.00,14.74,128,0.00,VM_Disk,Provisioned,Monitor capacity needs
CQF-Tenable-01_OsDisk_1_1f66ab577fdd4d75b05746940ff7a885,13.43,128,0.00,0.00,0,0.00,13.43,128,0.00,VM_Disk,Provisioned,Monitor capacity needs
CQF-TEST-101-osdisk,13.33,128,0.00,0.00,0,0.00,13.33,128,0.00,VM_Disk,Provisioned,Monitor capacity needs
aksbackup-vault-uat,120.00,0,10.00,110.35,0,9.20,9.65,0,0.80,Backup,Usage-based,Review retention settings
aksbackup-vault-prod,108.00,0,9.00,98.69,0,8.22,9.31,0,0.78,Backup,Usage-based,Review retention settings
CQF-TECH-104-osdisk,19.70,128,0.00,10.82,128,0.00,8.88,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
4.0.0,20.53,32,0.00,11.80,3,0.00,8.73,29,0.00,VM_Disk,Provisioned,Monitor capacity needs
CQF-PROD-206-osdisk,8.63,128,0.00,0.00,0,0.00,8.63,128,0.00,VM_Disk,Provisioned,Low impact
cqdomainstorage,7.91,0,499.07,0.00,0,0.00,7.91,0,499.07,File_Storage,Usage-based,Low impact
AzureBackup_cqfstorage02_933511760742221441,2700.27,1746,0.00,2693.04,1798,0.00,7.23,-52,0.00,VM_Disk,Provisioned,HIGH: Review if full capacity needed
cqfluencyrgdiag794,145.20,0,3327.89,138.04,0,3081.32,7.16,0,246.57,File_Storage,Usage-based,Monitor growth trends
3.0.0,25.16,32,0.00,18.46,32,0.00,6.70,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
RDSH03_dataDisk0Copy,76.94,512,0.00,71.53,512,0.00,5.40,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
5.0.0,10.01,32,0.00,4.72,3,0.00,5.29,29,0.00,VM_Disk,Provisioned,Monitor capacity needs
CQF-TECH-201-osdisk,8.59,128,0.00,5.86,128,0.00,2.73,0,0.00,VM_Disk,Provisioned,Low impact
cqfluencyrgdiag656,149.57,0,4279.57,146.85,0,4205.50,2.72,0,74.07,File_Storage,Usage-based,Monitor growth trends
memoqcqf-datadisk-000-20241027-131909,498.32,4096,0.00,495.62,4096,0.00,2.71,0,0.00,VM_Disk,Provisioned,MEDIUM: Check actual disk utilization
PlunetCQF-DataDisk1,76.13,512,0.00,73.44,512,0.00,2.69,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
AzureBackup_CQwatcher-Gateway-AD-2_87961511709239,17.64,32,0.00,15.00,32,0.00,2.64,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
unifiedmspprod,17.73,0,1523.27,15.96,0,1391.87,1.77,0,131.40,File_Storage,Usage-based,Monitor growth trends
RDSH13-OSdisk0,264.73,2048,0.00,263.02,2048,0.00,1.71,0,0.00,VM_Disk,Provisioned,MEDIUM: Check actual disk utilization
CQF-PROD-112-osdisk,14.27,128,0.00,12.61,128,0.00,1.66,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
powerautomate-gateway_OsDisk_1_b5047ef09a034953899721b108c292c6,1.64,128,0.00,0.00,0,0.00,1.64,128,0.00,VM_Disk,Provisioned,Low impact
CQF-PROD-123-osdisk,13.60,128,0.00,12.08,128,0.00,1.52,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
CQF-PROD-109-osdisk,14.52,128,0.00,13.04,128,0.00,1.48,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
penvm_DataDisk_0,1.48,256,0.00,0.00,0,0.00,1.48,256,0.00,VM_Disk,Provisioned,Low impact
AVD-PROD2-GOLD-osdisk,11.09,128,0.00,9.66,128,0.00,1.43,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
AzureBackup_msp-cqfluent-blue-01_1090717403924993,3.78,32,0.00,2.35,32,0.00,1.42,0,0.00,VM_Disk,Provisioned,Low impact
AVD-PROD1-GOLD-osdisk,11.08,128,0.00,9.66,128,0.00,1.42,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
AVD-TECH-GOLD-osdisk,11.07,128,0.00,9.66,128,0.00,1.42,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
CQF-PROD-120-osdisk,13.92,128,0.00,12.55,128,0.00,1.36,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
CQF-TEST-165-osdisk,1.36,128,0.00,0.00,0,0.00,1.36,128,0.00,VM_Disk,Provisioned,Low impact
CQF-PROD-125-osdisk,11.85,128,0.00,10.53,128,0.00,1.32,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
AVD-SI-GOLD-osdisk,10.97,128,0.00,9.66,128,0.00,1.31,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
CQF-Tenable-01_OsDisk_1_61150b03decd44489b27ea767bba8bfc,1.30,256,0.00,0.00,0,0.00,1.30,256,0.00,VM_Disk,Provisioned,Low impact
RDSH07-OSdisk0,269.57,2048,0.00,268.29,2048,0.00,1.28,0,0.00,VM_Disk,Provisioned,MEDIUM: Check actual disk utilization
CQF-PROD-118-osdisk,13.14,128,0.00,11.88,128,0.00,1.26,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
cqwatcherdev,4.08,0,726.10,2.85,0,495.74,1.23,0,230.36,File_Storage,Usage-based,Low impact
CQF-PROD-207-osdisk,1.19,128,0.00,0.00,0,0.00,1.19,128,0.00,VM_Disk,Provisioned,Low impact
CQF-PROD-205-osdisk,12.65,128,0.00,11.48,128,0.00,1.18,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
cqfmq02-osdisk-20211102-174821,31.31,256,0.00,30.15,256,0.00,1.16,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
CQF-PROD-126-osdisk,12.95,128,0.00,11.91,128,0.00,1.04,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
CQF-PROD-122-osdisk,13.70,128,0.00,12.72,128,0.00,0.98,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
ubuntu-docker_OsDisk_1_f4d4d84f9cce4f9cb8f754c92456430a,28.39,256,0.00,27.46,256,0.00,0.93,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
CQF-PROD-129-osdisk,11.55,128,0.00,10.63,128,0.00,0.92,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
AzureBackup_ubuntu-docker_1090716838791922,8.01,32,0.00,7.17,32,0.00,0.84,0,0.00,VM_Disk,Provisioned,Low impact
AzureBackup_msp-cqfluent-blue-02_1090716866063700,2.79,32,0.00,1.95,32,0.00,0.84,0,0.00,VM_Disk,Provisioned,Low impact
CQF-PROD-202-osdisk,11.38,128,0.00,10.55,128,0.00,0.83,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
CQF-PROD-107-osdisk,12.94,128,0.00,12.12,128,0.00,0.82,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
AzureBackup_msp-cqfluent-prod-blue-02_1090716992121024,2.71,32,0.00,1.96,32,0.00,0.75,0,0.00,VM_Disk,Provisioned,Low impact
RDSH08-OSdisk0,271.11,2048,0.00,270.42,2048,0.00,0.69,0,0.00,VM_Disk,Provisioned,MEDIUM: Check actual disk utilization
devmidtest-02_OsDisk_1_9b0566eb9c284da0afcdfa0033cca6a2,10.21,64,0.00,9.76,64,0.00,0.45,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
cqfmq03-osdisk-20230723-200132,26.37,256,0.00,25.92,256,0.00,0.44,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
CQF-PROD-121-osdisk,12.63,128,0.00,12.20,128,0.00,0.43,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
penvm_OsDisk_1_332fbd7c3415405db452847f8f3384ec,0.42,64,0.00,0.00,0,0.00,0.42,64,0.00,VM_Disk,Provisioned,Low impact
cqfluent,21.72,0,439.43,21.31,0,482.57,0.41,0,-43.13,"File_Storage, Storage",Usage-based,Monitor growth trends
CQF-PROD-130-osdisk,11.35,128,0.00,10.96,128,0.00,0.40,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
CQFcorpstorage_OsDisk_1_3510375e86964534b4b410536818f65c,20.84,128,0.00,20.54,128,0.00,0.30,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
CQF-PROD-132-osdisk,12.23,128,0.00,11.96,128,0.00,0.27,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
logicappsb5e0,1.47,0,410.79,1.20,0,336.93,0.26,0,73.85,File_Storage,Usage-based,Low impact
AzureBackup_cqconnect-ap-blue-01_1090716422164363,4.07,32,0.00,3.81,32,0.00,0.26,0,0.00,VM_Disk,Provisioned,Low impact
MSP-BackupVault,199.79,0,2459.68,199.54,0,2518.65,0.25,0,-58.97,Backup,Usage-based,Review retention settings
memoqtestb3b4,13.45,0,770.79,13.20,0,765.12,0.24,0,5.67,File_Storage,Usage-based,Monitor growth trends
CQF-PROD-203-osdisk,12.48,128,0.00,12.25,128,0.00,0.24,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
logicapps9033,0.22,0,412.01,0.00,0,3.80,0.22,0,408.21,File_Storage,Usage-based,Low impact
CQF-PROD-117-osdisk,12.90,128,0.00,12.69,128,0.00,0.22,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
stn6bf3e0b4200a3a740d033,0.89,0,1863.64,0.67,0,1804.55,0.22,0,59.09,File_Storage,Usage-based,Low impact
plunet-db-logs,137.65,1024,0.00,137.44,1024,0.00,0.21,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
AzureBackup_devmidtest-01_1090717310654222,3.49,32,0.00,3.28,32,0.00,0.21,0,0.00,VM_Disk,Provisioned,Low impact
RDSH14-OSdisk0,263.77,2048,0.00,263.57,2048,0.00,0.21,0,0.00,VM_Disk,Provisioned,MEDIUM: Check actual disk utilization
AzureBackup_cqconnect-ap-blue-02_1090716968690415,4.09,32,0.00,3.89,32,0.00,0.20,0,0.00,VM_Disk,Provisioned,Low impact
logicappsa889,1.56,0,452.62,1.38,0,401.35,0.18,0,51.27,File_Storage,Usage-based,Low impact
AzureBackup_cqconnect-msp-01_1090717065222906,16.73,32,0.00,16.57,32,0.00,0.16,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
cq-memoq-eastus-test_OsDisk_1_40c1dbf9ad854b8a91ef4dce83623c36,13.10,128,0.00,12.94,128,0.00,0.16,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
cqfmq03-datadisk-000-20230723-200132,19.62,256,0.00,19.46,256,0.00,0.16,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
cqfstorage02-datadisk_6,491.75,16384,0.00,491.60,16384,0.00,0.15,0,0.00,VM_Disk,Provisioned,MEDIUM: Check actual disk utilization
CQF-PROD-119-osdisk,12.68,128,0.00,12.53,128,0.00,0.15,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
memoq-datadisk03-g,3609.13,32768,0.00,3608.98,32768,0.00,0.15,0,0.00,VM_Disk,Provisioned,HIGH: Review if full capacity needed
EAD-DC01osDisk,20.58,128,0.00,20.45,128,0.00,0.13,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
CQF-PROD-127-osdisk,12.36,128,0.00,12.24,128,0.00,0.12,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
AzureBackup_devmidtest-02_1090717031250667,3.92,32,0.00,3.81,32,0.00,0.10,0,0.00,VM_Disk,Provisioned,Low impact
RDSH03-OSdisk0,139.36,1024,0.00,139.26,1024,0.00,0.10,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
AVD-PROD1-GOLD-tmp-osdisk,0.10,128,0.00,0.00,0,0.00,0.10,128,0.00,VM_Disk,Provisioned,Low impact
e2e1_OsDisk_1_2b7027127a5a459c86888b0c80ad8933,3.94,32,0.00,3.86,32,0.00,0.08,0,0.00,VM_Disk,Provisioned,Low impact
MSP-DB01_OsDisk_1_6c67108d37b64708a3e3401631a1acba,20.52,128,0.00,20.45,128,0.00,0.07,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
cqfcoldarchive,201.29,0,13272.53,201.23,0,13268.40,0.06,0,4.14,File_Storage,Usage-based,Monitor growth trends
powerautomate-gateway_OsDisk_1_583594b21140490183930c1f195c81cf,0.06,128,0.00,0.00,0,0.00,0.06,128,0.00,VM_Disk,Provisioned,Low impact
AVD-TECH-GOLD-tmp-osdisk,0.05,128,0.00,0.00,0,0.00,0.05,128,0.00,VM_Disk,Provisioned,Low impact
PRX01osDisk,7.09,128,0.00,7.05,128,0.00,0.04,0,0.00,VM_Disk,Provisioned,Low impact
cqscripts,0.22,0,20.25,0.17,0,11.03,0.04,0,9.22,File_Storage,Usage-based,Low impact
AzureBackup_penvm_87962257379966,0.04,32,0.00,0.00,0,0.00,0.04,32,0.00,VM_Disk,Provisioned,Low impact
AzureBackup_msp-cqfluent-prod-blue-01_1090716036723446,2.74,32,0.00,2.70,32,0.00,0.04,0,0.00,VM_Disk,Provisioned,Low impact
AVD-SI-GOLD-tmp-osdisk,0.04,128,0.00,0.00,0,0.00,0.04,128,0.00,VM_Disk,Provisioned,Low impact
AzureBackup_cqconnect-prod-02_1090715875568724,4.89,32,0.00,4.85,32,0.00,0.03,0,0.00,VM_Disk,Provisioned,Low impact
cqfmq02-datadisk-000-20211102-174821,19.39,256,0.00,19.36,256,0.00,0.03,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
AVD-PROD2-GOLD-tmp-osdisk,0.03,128,0.00,0.00,0,0.00,0.03,128,0.00,VM_Disk,Provisioned,Low impact
snapshot-1dd34b87-474e-4f61-8aeb-0bd0188f8f28,0.04,0,0.00,0.01,32,0.00,0.03,-32,0.00,VM_Disk,Provisioned,Low impact
snapshot-a04961c6-1036-4f29-b2d3-efef7b6b4960,0.04,0,0.00,0.01,32,0.00,0.03,-32,0.00,VM_Disk,Provisioned,Low impact
MSP-Plunet01_OsDisk_1_83be6e7942cb455f92778265949adb28,496.51,4096,0.00,496.48,4096,0.00,0.03,0,0.00,VM_Disk,Provisioned,MEDIUM: Check actual disk utilization
cqfsftpstorage,0.76,0,27.89,0.74,0,27.03,0.02,0,0.86,File_Storage,Usage-based,Low impact
AzureBackup_msp-consumer-01-prod_1090716243434784,3.30,32,0.00,3.28,32,0.00,0.02,0,0.00,VM_Disk,Provisioned,Low impact
cqsupportmonitoring9fca,0.25,0,437.62,0.24,0,417.66,0.02,0,19.95,File_Storage,Usage-based,Low impact
AVD-PROD1-TEST2-osdisk,9.66,128,0.00,9.64,128,0.00,0.02,0,0.00,VM_Disk,Provisioned,Low impact
cqfstoragesync,9.99,0,3.00,9.97,0,2.99,0.01,0,0.00,File_Storage,Usage-based,Low impact
freescout_OsDisk_1_566e1a1e619e4a60b9715d5bbaf2a252,4.60,32,0.00,4.59,32,0.00,0.01,0,0.00,VM_Disk,Provisioned,Low impact
cqlogicmonitorrgdiag,0.04,0,93.08,0.03,0,90.05,0.01,0,3.03,File_Storage,Usage-based,Low impact
consolex3xnijfrlnsty,0.04,0,93.36,0.03,0,90.30,0.01,0,3.06,File_Storage,Usage-based,Low impact
6.0.0,0.01,32,0.00,0.00,0,0.00,0.01,32,0.00,VM_Disk,Provisioned,Low impact
CQF-TECH-203-osdisk,0.01,128,0.00,0.00,0,0.00,0.01,128,0.00,VM_Disk,Provisioned,Low impact
logicappstesta247,0.25,0,439.91,0.24,0,425.35,0.01,0,14.57,File_Storage,Usage-based,Low impact
stsecuredeva080224081467,0.03,0,0.59,0.02,0,0.47,0.01,0,0.12,File_Storage,Usage-based,Low impact
cqconnectfunctionsprod,0.06,0,5.71,0.06,0,5.50,0.00,0,0.21,File_Storage,Usage-based,Low impact
unifiedcqmspprod,0.06,0,5.83,0.06,0,5.57,0.00,0,0.26,File_Storage,Usage-based,Low impact
powerautomate-gateway_OsDisk_1_e265b6285adf48ca94e6f45b7208ad23,0.00,128,0.00,0.00,0,0.00,0.00,128,0.00,VM_Disk,Provisioned,Low impact
dpsu6dg3ilfdqyua,0.02,0,5.39,0.02,0,5.21,0.00,0,0.18,"File_Storage, Storage",Usage-based,Low impact
powerautomate-gateway_OsDisk_1_a812ec4db4c64e45af68006d6dce5717,0.00,128,0.00,0.00,0,0.00,0.00,128,0.00,VM_Disk,Provisioned,Low impact
snapshot-edbf3792-c773-41ba-aa62-9f4603305256,0.00,0,0.00,0.00,32,0.00,0.00,-32,0.00,VM_Disk,Provisioned,Low impact
cssa7574a924df387db37f93,0.01,0,0.52,0.01,0,0.48,0.00,0,0.04,File_Storage,Usage-based,Low impact
snapshot-f5e8ecca-ab9c-4ddb-8892-65884faf060d,0.00,0,0.00,0.00,32,0.00,0.00,-32,0.00,VM_Disk,Provisioned,Low impact
cqconnectnfs,0.00,0,0.03,0.00,0,0.00,0.00,0,0.03,File_Storage,Usage-based,Low impact
snapshot-e38130b5-d1b7-46d0-894c-643339dc464e,0.00,0,0.00,0.00,32,0.00,0.00,-32,0.00,VM_Disk,Provisioned,Low impact
snapshot-8999b209-57c5-49a7-b5f2-ebd36cd8d6a4,0.00,0,0.00,0.00,32,0.00,0.00,-32,0.00,VM_Disk,Provisioned,Low impact
snapshot-2651ea57-4e3c-4621-82e4-e234394bc621,0.00,0,0.00,0.00,32,0.00,0.00,-32,0.00,VM_Disk,Provisioned,Low impact
snapshot-02d3f221-bf61-43bd-83e2-3cdfb9891165,0.00,0,0.00,0.00,32,0.00,0.00,-32,0.00,VM_Disk,Provisioned,Low impact
snapshot-f64df67f-4721-4890-851e-d62e6943da94,0.00,0,0.00,0.00,32,0.00,0.00,-32,0.00,VM_Disk,Provisioned,Low impact
snapshot-31195555-04de-40ea-9712-c6ccdf308df1,0.00,0,0.00,0.00,32,0.00,0.00,-32,0.00,VM_Disk,Provisioned,Low impact
snapshot-ce8cc7db-075a-4018-bbbd-eb864ef68714,0.00,0,0.00,0.00,32,0.00,0.00,-32,0.00,VM_Disk,Provisioned,Low impact
snapshot-4c47cc21-7a71-441e-80dc-93e7beb62d61,0.00,0,0.00,0.00,32,0.00,0.00,-32,0.00,VM_Disk,Provisioned,Low impact
snapshot-b2932b11-2448-44db-b2ac-5bc3bcc6948e,0.00,0,0.00,0.00,32,0.00,0.00,-32,0.00,VM_Disk,Provisioned,Low impact
snapshot-becd166d-23e9-4869-835e-c1236fa4cfa3,0.00,0,0.00,0.00,32,0.00,0.00,-32,0.00,VM_Disk,Provisioned,Low impact
snapshot-80aa6690-b14b-400e-82e5-ea6fafb1e440,0.00,0,0.00,0.00,32,0.00,0.00,-32,0.00,VM_Disk,Provisioned,Low impact
PERFPROBE01OsDisk,5.89,128,0.00,5.89,128,0.00,0.00,0,0.00,VM_Disk,Provisioned,Low impact
memoqbackup,0.00,0,0.03,0.00,0,0.02,0.00,0,0.01,File_Storage,Usage-based,Low impact
cqfluencyrgperfdiag241,0.01,0,0.36,0.01,0,0.36,0.00,0,0.00,File_Storage,Usage-based,Low impact
cqfcloudynreports,0.00,0,0.04,0.00,0,0.04,0.00,0,0.00,File_Storage,Usage-based,Low impact
powerautomate-gateway_OsDisk_1_85a85f72491f4028bcd5536e41f30e3f,0.00,128,0.00,0.00,0,0.00,0.00,128,0.00,VM_Disk,Provisioned,Low impact
powerautomate-gateway_OsDisk_1_2abf57f863b74dedaa25118df57a630b,0.00,128,0.00,0.00,0,0.00,0.00,128,0.00,VM_Disk,Provisioned,Low impact
storagevjlzwdxetwbfm,0.00,0,0.03,0.00,0,0.02,0.00,0,0.00,File_Storage,Usage-based,Low impact
